Loading,PC1.v,PC2.v
KSR2,0.01529661,-0.001762599
MCM4,0.015294466,0.004488685
MYBL1,0.015279434,0.002793702
RXFP3,0.015279428,8.96449e-4
DNASE1L2,0.01526485,-0.008020177
TRPA1,0.015257178,0.004164229
CTXN2,0.015241047,-0.001183935
ASPDH,0.015219291,9.03294e-4
RHEBL1,0.015218352,0.01358117
SCG5,0.015193064,6.948e-4
MEST,0.015184572,0.00560976
CCDC154,0.015184299,-0.00601003
VAX2,0.015183073,9.76948e-4
SYNGR3,0.015175256,0.004117372
FBXO5,0.015173031,0.003640677
NETO2,0.01516328,0.012537334
PRSS53,0.015141153,-0.005064446
TP53TG3,0.015066438,6.25537e-4
YBX2,0.015041675,-0.005491086
CALML3,0.015039329,-0.021577583
ACYP1,0.015031462,8.74894e-4
AGBL4,0.015030285000000001,-4.15094e-4
GOLGA7B,0.015006771,0.012360309
CDH24,0.014988756,0.004057304
UMODL1,0.014970702,0.005646345
ANKRD34B,0.014962153,-0.00256128
CNTN2,0.014939143,-0.014794985
MCM2,0.014930718,0.002581308
LHFPL4,0.014922722,-0.006749545
HIST1H3G,0.01492065,0.001523964
ZGRF1,0.014887474,0.001173216
TACC3,0.014877874,0.010481697
SRPK3,0.014869164,-0.011439729
CPT1C,0.014863681,-1.35015e-4
GBX2,0.014844349,0.004621039
CEL,0.014807429,-0.009923807
DDX11,0.014795774,0.00108078
WASF1,0.014767857,-0.001921947
PSRC1,0.014764154,0.001039388
IL17REL,0.014747575,0.001641643
HOXD11,0.014747518,-0.029365693
TOX3,0.014742585,0.004332745
MURC,0.014737296,0.002389746
KCND2,0.014731153,0.007734765
LHX3,0.014727641,-3.96141e-4
POU6F2,0.014724839,0.003186638
DPYSL4,0.014721068,-0.015472804
SLC12A5,0.014715013,0.007434232
MAGED4,0.014713956,-0.007441185
CEP152,0.014688731,0.002855169
HMGB2,0.01468605,0.004096561
C21orf58,0.014685476,0.002021973
CYP2D7,0.014671101,-0.001132121
GDF1,0.014670384,-0.005139454
DCLK3,0.014659063,0.00610202
MEP1B,0.014624659,1.01778e-4
UBE2QL1,0.014622854,-0.01870331
RAD51,0.014621202,0.007204443
SH3GL2,0.01459095,-0.007544366
NEB,0.014586816,-0.010062821
KCTD19,0.014584713,0.009871771
RAB26,0.014580614,-0.015308526
TMSB15A,0.014578069,-0.013768753
ANKLE1,0.014558217,0.002982943
CHD5,0.014549664,-0.020505044
SLC38A8,0.014523863,0.005614257
SV2A,0.014520982,-0.001968506
TCF24,0.014519362,0.002079208
CCDC14,0.014515574,0.001564102
DSCC1,0.014487157,0.003573949
WDHD1,0.014475097,0.006387141
DNAJC12,0.014453914,-0.004493548
RIBC2,0.0144526,0.003559295
CACNG5,0.014448912,0.002499457
ASB15,0.014448502,-0.002670036
SLC44A5,0.014436609,0.004447741
PRR36,0.014424903,-0.001914331
MCOLN3,0.014416821,0.012121909
KRT83,0.01440641,0.001900771
KRTAP5-1,0.014404161,0.004397196
PACSIN1,0.014401133,-0.008182746
JAKMIP2,0.014381275,0.011193919
CCNA1,0.014372166,0.015368837
MUC19,0.014367852,0.00108979
DISP2,0.01436541,-1.50718e-4
KCNH3,0.014364806,-4.08049e-4
GINS4,0.014344972,0.005759705
MED12L,0.014331067,-0.012273706
BRICD5,0.014314532,-2.52e-5
RMI2,0.014294629,0.005887784
MAPK8IP2,0.014288283,-0.005394794
HIST1H4E,0.014260086,-0.009334299
CABYR,0.014259202,5.89916e-4
HOXD3,0.014257954,-0.010964548
TONSL,0.014243531,0.001800632
ONECUT1,0.014207897,0.007497742
SIX6,0.014193163,-0.011617747
YJEFN3,0.01418947,-0.004599776
SLC38A3,0.014181113,-0.006720588
SLC10A4,0.014163139,0.011639496
